KPI,Valor
Receita Total,"R$ 15,841,171.67"
Ticket Médio,R$ 160.57
Frete Médio,R$ 22.82
Take-rate de Frete,14.21%
Prazo Médio de Entrega,12.09 dias
Taxa de Atraso,6.77%
Taxa de Confirmação,97.79%
Taxa de Cancelamento,0.47%
